language,avg(thumbsup),avg(thumbsdown),avg(laugh),avg(hooray),avg(confused),avg(heart),avg(total_count),"Emoji per 100 Comments"
c,102.43,4.23,6.1,12.94,2.09,5.65,133.44,4.57385917864005
c-sharp,190.59,9.44,10.85,15.08,5.31,11.53,242.8,5.58351068267141
go,134.99,5.19,6.51,14.46,2.09,8.17,171.41,5.84318474660271
haskell,112.857142857143,1.71428571428571,4.85714285714286,18.3333333333333,1.61904761904762,8.95238095238095,148.333333333333,6.81941489976631
java,93.01,1.27,5.12,10.22,1.68,6.19,117.49,4.1297412750695
javascript,190.81,6.89,10.61,26.25,4.27,15.86,254.69,11.2187373493534
python,138.96,4.09,7.02,13.66,2.26,8.29,174.28,3.98036493591117
ruby,103.9,1.89,6.38,16.12,2.11,12.17,142.57,4.30747295899293
rust,100.724137931034,4.62068965517241,3.75862068965517,14.0,1.31034482758621,11.3448275862069,135.758620689655,6.17696598585477
swift,33.61,0.43,1.69,5.25,0.59,2.55,44.12,10.1816791303676
