language,repo,num_comments
javascript,luruke/barba.js,0
javascript,luruke/barba.js,0
javascript,luruke/barba.js,1
javascript,luruke/barba.js,0
javascript,luruke/barba.js,11
javascript,luruke/barba.js,1
javascript,luruke/barba.js,6
javascript,luruke/barba.js,7
javascript,luruke/barba.js,2
javascript,luruke/barba.js,1
javascript,luruke/barba.js,2
javascript,luruke/barba.js,2
javascript,luruke/barba.js,4
javascript,luruke/barba.js,1
javascript,luruke/barba.js,7
javascript,luruke/barba.js,4
javascript,luruke/barba.js,4
javascript,luruke/barba.js,1
javascript,luruke/barba.js,4
javascript,luruke/barba.js,4
javascript,luruke/barba.js,1
javascript,luruke/barba.js,7
javascript,luruke/barba.js,1
javascript,luruke/barba.js,8
javascript,luruke/barba.js,3
javascript,luruke/barba.js,6
javascript,luruke/barba.js,2
javascript,luruke/barba.js,1
javascript,luruke/barba.js,1
javascript,luruke/barba.js,2
javascript,luruke/barba.js,5
javascript,luruke/barba.js,1
javascript,luruke/barba.js,1
javascript,luruke/barba.js,2
javascript,luruke/barba.js,2
javascript,luruke/barba.js,1
javascript,luruke/barba.js,3
javascript,luruke/barba.js,2
javascript,luruke/barba.js,2
javascript,luruke/barba.js,4
javascript,luruke/barba.js,3
javascript,luruke/barba.js,0
javascript,luruke/barba.js,0
javascript,luruke/barba.js,1
javascript,luruke/barba.js,2
javascript,luruke/barba.js,4
javascript,luruke/barba.js,8
javascript,luruke/barba.js,2
javascript,luruke/barba.js,3
javascript,luruke/barba.js,4
javascript,luruke/barba.js,7
javascript,luruke/barba.js,2
javascript,luruke/barba.js,2
javascript,luruke/barba.js,4
javascript,luruke/barba.js,5
javascript,luruke/barba.js,2
javascript,luruke/barba.js,3
javascript,luruke/barba.js,1
javascript,luruke/barba.js,1
javascript,luruke/barba.js,3
javascript,luruke/barba.js,1
javascript,luruke/barba.js,5
javascript,luruke/barba.js,1
javascript,luruke/barba.js,2
javascript,luruke/barba.js,1
javascript,luruke/barba.js,3
